percentile,score
0,0.000000
1,0.003350
2,0.003672
3,0.003672
4,0.003672
5,0.003672
6,0.003672
7,0.005121
8,0.005121
9,0.005121
10,0.005121
11,0.005121
12,0.005121
13,0.005121
14,0.005121
15,0.005121
16,0.005121
17,0.005394
18,0.005394
19,0.005394
20,0.007432
21,0.009278
22,0.009278
23,0.009278
24,0.009278
25,0.009278
26,0.009278
27,0.009278
28,0.009278
29,0.009278
30,0.009278
31,0.009469
32,0.009469
33,0.009469
34,0.009610
35,0.009610
36,0.012497
37,0.012497
38,0.012497
39,0.012497
40,0.012497
41,0.012497
42,0.012497
43,0.012497
44,0.012497
45,0.012497
46,0.012497
47,0.012497
48,0.012497
49,0.012497
50,0.012497
51,0.012497
52,0.012497
53,0.015016
54,0.015016
55,0.015016
56,0.015016
57,0.016751
58,0.016751
59,0.016751
60,0.016751
61,0.016751
62,0.016751
63,0.016751
64,0.020146
65,0.020146
66,0.020146
67,0.020146
68,0.020146
69,0.020146
70,0.020146
71,0.024057
72,0.024057
73,0.028729
74,0.028729
75,0.028729
76,0.029119
77,0.029867
78,0.029867
79,0.029867
80,0.036496
81,0.040175
82,0.047764
83,0.047764
84,0.051136
85,0.053333
86,0.055962
87,0.055962
88,0.057692
89,0.059322
90,0.061384
91,0.063758
92,0.063758
93,0.066372
94,0.083650
95,0.089552
96,0.156028
97,0.156028
98,0.272201
99,0.755556
100,0.875000
